"hash_sha256","file_base","file_path","file_extension","application_name","application_team","application_category"
"9be1aeb55a5410b3487c7b77a8f354cdabd812c8ec04c0db761cc00c85761951","OSDRIVE","%OSDRIVE%\USERS\AAUSMU\APPS\SCRIPTS\ORIENTATION-POWER13.PS1","PS1","ORIENTATION-POWER13","UNDEFINED","SUPPRESS"
"e694619a4a45ae1ac95defcb803bdbe6bd8bef7624676f465ca142e9cfc5dd42","OSDRIVE","%OSDRIVE%\USERS\DISCHO\APPS\SYSINTERNALS\ADEXPLORER.EXE","EXE","ADEXPLORER","UNDEFINED","SUPPRESS"
"38247bd0158413654dcc48de7de0ef3b13b33758e837fcacd9b55b23bde7fcd3","OSDRIVE","%OSDRIVE%\USERS\DISCHO\APPS\SYSINTERNALS\TCPVIEW.EXE","EXE","TCPVIEW","UNDEFINED","SUPPRESS"
"b0dda56181fdfc8e27a6c4987c19da872a2dbb9a467b60d0aa3309e7a549e59b","OSDRIVE","%OSDRIVE%\USERS\DISCHO\APPS\SYSINTERNALS\PSEXEC.EXE","EXE","PSEXEC","UNDEFINED","SUPPRESS"
"52848bd86efce1bd14113263eabbcaf5ee265d07fef469110d04e9f9b175864d","OSDRIVE","%OSDRIVE%\USERS\DISCHO\APPS\SYSINTERNALS\PROCEXP.EXE","EXE","PROCEXP","UNDEFINED","SUPPRESS"
"6baf88124a25e6f61e02c89c1e01618ffc3c8acad6cf317b6af0c2ae9915ba6f","OSDRIVE","%OSDRIVE%\USERS\DISCHO\APPS\SYSINTERNALS\PROCDUMP64.EXE","EXE","PROCDUMP64","UNDEFINED","AUTHORIZE"
"688b7077ecfdcf6022e246764a9ade6a89532348db41417d8454e054f7e6f987","OSDRIVE","%OSDRIVE%\USERS\DISCHO\APPS\SYSINTERNALS\AUTORUNSC64.EXE","EXE","AUTORUNSC64","UNDEFINED","AUTHORIZE"
"a2322d8cdd24af9df69adcc58867cbccd48b84e6b3967f58633e04a02d38e23e","OSDRIVE","%OSDRIVE%\USERS\DISCHO\APPS\SYSINTERNALS\AUTORUNS.EXE","EXE","AUTORUNS","UNDEFINED","SUPPRESS"
"afedc00e972afd2056f4814713a32ba9e6260f024b15a15526693e7cff6a2fad","OSDRIVE","%OSDRIVE%\USERS\DISCHO\APPS\FREECIV\APP\FREECIV\FREECIV-GTK3.22.EXE","EXE","FREECIV-GTK3.22","UNDEFINED","SUPPRESS"
"55b85b19d0d28ba952b095a6006136f68ed4a4ae4eae261e284586ccaf0364a5","OSDRIVE","%OSDRIVE%\USERS\DISCHO\APPS\SYSINTERNALS\ADINSIGHT.EXE","EXE","ADINSIGHT","UNDEFINED","SUPPRESS"
"934040cca0457ae08fad530ed8112a0a3af95b10772c0df6b3a86bcb74710fcc","OSDRIVE","%OSDRIVE%\USERS\DISCHO\APPS\SCRIPTS\ORIENTATION-POWER1.CMD","CMD","ORIENTATION-POWER1","UNDEFINED","SUPPRESS"
"349c311a9b7504d31806bd5ca8112937ef26459854671ffc514ec061e7aa9777","OSDRIVE","%OSDRIVE%\USERS\DISCHO\APPS\SCRIPTS\ORIENTATION-POWER3.CMD","CMD","ORIENTATION-POWER3","UNDEFINED","SUPPRESS"
"b0d27a1ae42421c60da84518ea559912b35f5122a47cfc489b421308f21f70d9","OSDRIVE","%OSDRIVE%\USERS\DISCHO\APPS\SCRIPTS\ORIENTATION-POWER2.BAT","BAT","ORIENTATION-POWER2","UNDEFINED","SUPPRESS"
"6e3ff9ca0257cbd275760c11686c57d954b3cd1df4ee0133af1883735d874a02","OSDRIVE","%OSDRIVE%\USERS\DISCHO\APPS\SCRIPTS\ORIENTATION-POWER13.PS1","PS1","ORIENTATION-POWER13","UNDEFINED","SUPPRESS"
"478e6b6a36d1f42ead7c016b937ebff85ee2290709577ab9a47726cde9a0cff9","OSDRIVE","%OSDRIVE%\USERS\DISCHO\APPS\SCRIPTS\ORIENTATION-POWER12.PS1","PS1","ORIENTATION-POWER12","UNDEFINED","SUPPRESS"
"bd133d03fd418882532605cd79eb340a7f7d2f657a35873700d663b2fd8da368","OSDRIVE","%OSDRIVE%\USERS\DISCHO\APPS\SCRIPTS\ORIENTATION-POWER11.PS1","PS1","ORIENTATION-POWER11","UNDEFINED","SUPPRESS"
"a5bd4538f4303a269d9bd9d53f42647dbf70368cf11c3fe061a96a4829403392","OSDRIVE","%OSDRIVE%\USERS\DISCHO\APPS\SCRIPTS\RECON-POWER.VBS","VBS","RECON-POWER","UNDEFINED","SUPPRESS"
